title;url;price
HP 17-cn1951nd;https://www.coolblue.nl/en/product/890653/hp-17-cn1951nd.html;"<strong class=""sales-price__current js-sales-price-current"">799,-</strong>"
Asus Vivobook 17 X712EA-AU602W;https://www.coolblue.nl/en/product/898537/asus-vivobook-17-x712ea-au602w.html;"<strong class=""sales-price__current js-sales-price-current"">999,-</strong>"
Lenovo ThinkPad E15 G2 - 20TD0028MH;https://www.coolblue.nl/en/product/872898/lenovo-thinkpad-e15-g2-20td0028mh.html;"<strong class=""sales-price__current js-sales-price-current"">999,-</strong>"
Lenovo ThinkBook 15 G3 - 21A4002DMH;https://www.coolblue.nl/en/product/888360/lenovo-thinkbook-15-g3-21a4002dmh.html;"<strong class=""sales-price__current js-sales-price-current"">849,-</strong>"
Asus Zenbook 14 UM425UAZ-KI023W;https://www.coolblue.nl/en/product/893967/asus-zenbook-14-um425uaz-ki023w.html;"<strong class=""sales-price__current js-sales-price-current"">1.049,-</strong>"
Lenovo IdeaPad Gaming 3 15IMH05 81Y40197MH;https://www.coolblue.nl/en/product/880001/lenovo-ideapad-gaming-3-15imh05-81y40197mh.html;"<strong class=""sales-price__current js-sales-price-current"">899,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Acer Nitro 5 AN517-52-757K;https://www.coolblue.nl/en/product/867668/acer-nitro-5-an517-52-757k.html;"<strong class=""sales-price__current js-sales-price-current"">1.099,-</strong>"
Acer Chromebook Spin 513 CP513-1H-S2LW;https://www.coolblue.nl/en/product/872378/acer-chromebook-spin-513-cp513-1h-s2lw.html;"<strong class=""sales-price__current js-sales-price-current"">299,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Microsoft Surface Pro 8 - i5/8/256 (Graphite);https://www.coolblue.nl/en/product/897653/microsoft-surface-pro-8-i5-8-256-graphite.html;"<strong class=""sales-price__current js-sales-price-current"">999,-</strong>"
Acer Chromebook 314 CB314-1HT-C6XM;https://www.coolblue.nl/en/product/839397/acer-chromebook-314-cb314-1ht-c6xm.html;"<strong class=""sales-price__current js-sales-price-current"">349,-</strong>"
Microsoft Surface Pro 8 - i5/8GB/128GB (Platinum);https://www.coolblue.nl/en/product/897650/microsoft-surface-pro-8-i5-8gb-128gb-platinum.html;"<strong class=""sales-price__current js-sales-price-current"">949,-</strong>"
HP ENVY x360 15-ed1900nd;https://www.coolblue.nl/en/product/871004/hp-envy-x360-15-ed1900nd.html;"<strong class=""sales-price__current js-sales-price-current"">1.199,-</strong>"
Lenovo IdeaPad 5 15ITL05 82FG00YQMH;https://www.coolblue.nl/en/product/878365/lenovo-ideapad-5-15itl05-82fg00yqmh.html;"<strong class=""sales-price__current js-sales-price-current"">699,-</strong>"
HP Pavilion x360 14-dy0901nd;https://www.coolblue.nl/en/product/877669/hp-pavilion-x360-14-dy0901nd.html;"<strong class=""sales-price__current js-sales-price-current"">819,-</strong>"
Acer Nitro 5 AN515-57-77K2;https://www.coolblue.nl/en/product/892321/acer-nitro-5-an515-57-77k2.html;"<strong class=""sales-price__current js-sales-price-current"">1.499,-</strong>"
Lenovo Legion 7 16ACHg8 82N600MTMH;https://www.coolblue.nl/en/product/898112/lenovo-legion-7-16achg8-82n600mtmh.html;"<strong class=""sales-price__current js-sales-price-current"">3.099,-</strong>"
MSI GE66 11UH-203NL;https://www.coolblue.nl/en/product/883217/msi-ge66-11uh-203nl.html;"<strong class=""sales-price__current js-sales-price-current"">2.549,-</strong>"
Acer Aspire 3 A315-56-577F;https://www.coolblue.nl/en/product/841243/acer-aspire-3-a315-56-577f.html;"<strong class=""sales-price__current js-sales-price-current"">549,-</strong>"
